training/actor/actor_loss,training/actor/bc_log_prob,training/actor/bc_loss,training/actor/mse,training/actor/q_abs_mean,training/actor/q_loss,training/actor/q_mean,training/actor/std,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,training/value/v_max,training/value/v_mean,training/value/v_min,training/value/value_loss,validation/actor/actor_loss,validation/actor/bc_log_prob,validation/actor/bc_loss,validation/actor/mse,validation/actor/q_abs_mean,validation/actor/q_loss,validation/actor/q_mean,validation/actor/std,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,validation/value/v_max,validation/value/v_mean,validation/value/v_min,validation/value/value_loss,time/epoch_time,time/total_time,step
3.3117182,-7.70574,2.3117223,0.088558085,16.144047,0.9999959,-16.143982,1.0,0.7253493,0.3229146,-13.130533,-22.657736,1.7798138,-1.7944303,33.31359,1.0052979,-12.536108,-21.866495,0.024966586,3.3188245,-7.7294626,2.3188388,0.09448851,16.091856,0.99998575,-16.091629,1.0,0.98278654,0.14688806,-13.561134,-22.658857,1.0773302,-12.934674,-21.882465,0.031056212,0.08313202590942383,415.66014289855957,5000
3.2935545,-7.645182,2.2935545,0.073418476,24.874683,0.99999994,-24.874683,1.0,1.0138509,0.0,-20.27018,-38.266384,1.2733738,-1.2125754,29.939043,1.0067867,-19.746468,-37.64135,0.04668729,3.3035975,-7.6786575,2.3035975,0.08178741,24.94632,0.99999994,-24.94632,1.0,5.71498,0.0,-20.320362,-38.30708,1.2345496,-19.8125,-37.6813,0.04594137,0.0748673846244812,789.9970769882202,10000
3.2923927,-7.641309,2.2923927,0.0724501,29.852867,0.99999994,-29.852867,1.0,1.0886055,0.0,-23.67566,-50.258205,1.7651386,-1.8405154,35.867054,0.7548355,-23.216774,-49.747894,0.053273827,3.3028467,-7.676155,2.3028467,0.081161715,31.110956,0.99999994,-31.110956,1.0,15.182813,0.0,-24.504719,-50.3462,0.9729116,-24.008179,-49.81497,0.05140599,0.07541452803611755,1167.069730758667,15000
3.2822282,-7.607436,2.2822309,0.06398195,32.386864,0.99999744,-32.38678,1.0,1.3223829,0.0,-25.940414,-59.275047,3.1053708,-3.5805387,66.421974,0.6804032,-25.472546,-58.854916,0.07661477,3.2991588,-7.663862,2.2991588,0.07808861,31.400284,0.99999994,-31.400284,1.0,26.107613,0.0,-26.017591,-59.473297,0.67162216,-25.61147,-59.06348,0.06504534,0.07526064028739929,1543.3729453086853,20000
3.2791753,-7.597251,2.2791753,0.061435685,32.38751,1.0,-32.38751,1.0,1.3056337,0.0,-27.054651,-65.412384,1.96755,-1.9497945,42.0989,0.84465396,-26.604305,-64.88526,0.060850866,3.2945457,-7.648511,2.2945533,0.07425061,32.891224,0.99999225,-32.89097,1.0,32.228302,0.0,-26.432438,-65.676735,0.60630524,-26.064262,-65.32998,0.0644945,0.07541267728805542,1920.4363412857056,25000
3.282104,-7.6070123,2.282104,0.0638761,33.466164,1.0,-33.466164,1.0,1.2428415,0.0,-27.375519,-69.54795,4.9108553,-5.8388195,94.998825,1.5132917,-26.933079,-69.232056,0.07813443,3.3035622,-7.6785903,2.3035772,0.08177056,34.610687,0.99998504,-34.61017,1.0,39.361637,0.33249584,-27.820042,-69.175415,1.2139689,-27.428429,-68.91044,0.08813943,0.07504564051628113,2295.664551973343,30000
3.282395,-7.6079826,2.282395,0.064118676,33.762856,1.0,-33.762856,1.0,0.9616774,0.0,-27.49971,-71.39569,2.2817717,-1.9478422,42.826736,1.4414277,-27.08702,-71.10828,0.069096014,3.2874446,-7.624815,2.2874446,0.06832677,34.739555,1.0,-34.739555,1.0,46.053757,0.0,-28.352215,-72.544586,1.726695,-27.931667,-72.26268,0.093801305,0.07574705743789673,2674.399851322174,35000
3.2768297,-7.5894322,2.2768297,0.059481055,34.00959,1.0,-34.00959,1.0,1.0743859,0.0,-27.680414,-73.922905,1.983726,-2.3606524,49.154327,1.5660112,-27.265055,-73.65981,0.07320358,3.2953472,-7.6511574,2.2953472,0.07491232,35.160465,1.0,-35.160465,1.0,43.049774,0.0,-27.95027,-73.33964,1.0148468,-27.519028,-73.10601,0.06474353,0.07476331653594971,3048.2164459228516,40000
3.2755678,-7.5852304,2.2755692,0.058430545,34.204823,0.99999857,-34.204773,1.0,0.88117975,0.0,-28.196405,-74.31458,4.3970213,-5.1010604,65.87229,1.0235964,-27.804691,-73.90175,0.07802001,3.3004994,-7.6683307,2.3004994,0.0792056,34.463528,1.0,-34.463528,1.0,47.98547,0.0,-27.979881,-75.07569,1.0916852,-27.591557,-74.83176,0.07020884,0.07485706520080566,3422.501782178879,45000
3.2717862,-7.572621,2.2717862,0.05527817,34.245632,1.0,-34.245632,1.0,0.96728384,0.0,-28.266785,-74.99418,2.4079864,-2.7365232,43.420513,0.923618,-27.845161,-74.76656,0.052858174,3.2894974,-7.631658,2.2894974,0.070037425,34.43727,1.0,-34.43727,1.0,51.746613,0.0,-29.789808,-75.86018,0.9628521,-29.383434,-75.6121,0.06803795,0.07492134728431701,3797.10853099823,50000
